t,y
301,9.191947445267203
302,9.199984537302552
303,9.206802724308695
304,9.214633226431955
305,9.222701784102286
306,9.228485740669274
307,9.238568951734672
308,9.246583517640254
309,9.253158506239249
310,9.258155559087632
311,9.262425789876554
312,9.267115105709209
313,9.27358502670233
314,9.27855985823441
315,9.284173832721262
316,9.289437550619644
317,9.295336844840055
318,9.301790280046406
319,9.310678711671263
320,9.320321257032985
321,9.32792465544629
322,9.33614126263262
323,9.343386816536649
324,9.349820565419405
325,9.354924755526952
326,9.360136246371013
327,9.364779859281224
328,9.369309935655263
329,9.374924136611016
330,9.376904912460708
331,9.377749314853743
332,9.380004157590585
333,9.38537107437828
334,9.389725428245384
335,9.39463924727367
336,9.399661333487224
337,9.404567829007446
338,9.40846886739667
339,9.4121153656657
340,9.415954399460599
341,9.419984265696419
342,9.424203280607786
343,9.430828572585465
344,9.436956500547508
345,9.444068494936724
346,9.450753772344084
347,9.456426218537755
348,9.461242179118756
349,9.466240093051523
350,9.46965245480156
351,9.472669653687554
352,9.47529516872546
353,9.477238743470197
354,9.478799837041974
355,9.480495048022508
356,9.481443954546918
357,9.480554719478151
358,9.479526248818411
359,9.478505990047056
360,9.476982347699613
361,9.474156375720042
362,9.472447553106836
363,9.470460587774358
364,9.470165699152169
365,9.469144787693027
366,9.46674895851276
367,9.464735793289517
368,9.462375042497897
369,9.460468831144055
370,9.459231106519267
371,9.458873873890674
372,9.45837441419536
373,9.457951351421826
374,9.456300292020128
375,9.454300236659758
376,9.451881774018624
377,9.449120716065968
378,9.447031556822866
379,9.446258606191874
380,9.444625575214404
381,9.443077393270682
382,9.440748229101883
383,9.438941528499605
384,9.437868970782155
385,9.43594106601051
386,9.434100026172421
387,9.433064051734336
388,9.43383242489285
389,9.43430760566489
390,9.435496882826314
391,9.436605256723402
392,9.437203197151057
393,9.435933317276454
394,9.43632056983106
395,9.435988970563386
396,9.434944403260916
397,9.43190543052566
398,9.427603109176387
399,9.423476573795044
400,9.42002422621037
401,9.416384116603673
402,9.412343749423567
403,9.40847676834199
404,9.403427689236146
405,9.399129332552825
406,9.39436524832689
407,9.387573562233031
408,9.38097565137052
409,9.375138715656675
410,9.371335779781141
411,9.368627087819812
412,9.365938869101248
413,9.362561283501218
414,9.360344138765143
415,9.35771829184283
416,9.36149064130735
417,9.364597039048743
418,9.367326032051379
419,9.368831294543234
420,9.371103475935012
421,9.373217178354095
422,9.375668470528733
423,9.378172060109293
424,9.382140079669378
425,9.384172296754146
426,9.386612738162208
427,9.391927060066843
428,9.396919695149018
429,9.402791372582376
430,9.408760219360813
431,9.413769116044895
432,9.416840044103813
433,9.420239994504117
434,9.422629915396492
435,9.425142729068227
436,9.427144901192216
437,9.430467174584791
438,9.433624381633479
439,9.436688021105368
440,9.439518467799335
441,9.441135385133924
442,9.443652026237856
443,9.445939792551172
444,9.44800046143218
445,9.449765743154808
446,9.451237924102928
447,9.453329278836446
448,9.455475231629496
449,9.45879458454966
450,9.461879783288342
451,9.464313221855955
452,9.466169790330223
453,9.468152461007035
454,9.468514513956482
455,9.469083337042427
456,9.469996915640873
457,9.470903816267306
458,9.472501460097737
459,9.474366295895523
460,9.475659997384954
461,9.477083603015844
462,9.478078958922776
463,9.478718947592142
464,9.479145473626307
465,9.478942680427263
466,9.479923844842647
467,9.48013298301967
468,9.480549146914766
469,9.481587731544964
470,9.482340895561762
471,9.482741344901022
472,9.484458069625136
473,9.486717643111467
474,9.488405755769502
475,9.490081661416772
476,9.491121320129494
477,9.492569438579794
478,9.493729870098303
479,9.490586048951315
480,9.4870492860784
481,9.483607262453072
482,9.480051573263678
483,9.477075166645466
484,9.474189368333834
485,9.47132432402462
486,9.468549027086619
487,9.465793668519922
488,9.462919862491326
489,9.460066681182727
490,9.456335934178757
