t,y
101,7.5130250875287325
102,7.511818161421501
103,7.510188301796194
104,7.507921160183252
105,7.506839818326134
106,7.503310476658936
107,7.501665226172574
108,7.5101335432460266
109,7.518614254180303
110,7.535124402454519
111,7.552782165259033
112,7.568898064886703
113,7.587272796668773
114,7.602773548432061
115,7.631323351754872
116,7.662916533386639
117,7.695283280008128
118,7.724906129717717
119,7.754039751728096
120,7.780520235600727
121,7.808981110874555
122,7.844579026715081
123,7.879555531797929
124,7.912198745249848
125,7.948393316187773
126,7.990850863282673
127,8.034471983754354
128,8.083521392519096
129,8.12715360465942
130,8.170209594384128
131,8.210142093312808
132,8.244469930145009
133,8.289299032875151
134,8.332683245760885
135,8.37062534550774
136,8.405801243074844
137,8.44293539841578
138,8.484307420430365
139,8.526439664701966
140,8.570158566417609
141,8.613111473972943
142,8.656158747564534
143,8.709171486470556
144,8.763525900623346
145,8.815420101722998
146,8.871191737277908
147,8.935560822646362
148,9.001020647736132
149,9.0608718291972
150,9.122121524873709
151,9.170166506338512
152,9.215291853469674
153,9.257772751949979
154,9.296009658831151
155,9.327403800484701
156,9.345895425637966
157,9.362331597749625
158,9.382135432345303
159,9.401719351525267
160,9.42212078400319
161,9.455903688857548
162,9.49122953852009
163,9.509737382682394
164,9.541841564452415
165,9.574083251470094
166,9.598447490184373
167,9.621266994761204
168,9.638678307649746
169,9.652030317641337
170,9.664280069390037
171,9.680364997062783
172,9.69733757079435
173,9.713338690088063
174,9.73247593951827
175,9.762236384832995
176,9.78953467254026
177,9.815444029749434
178,9.840402364297102
179,9.85791213859615
180,9.876277000745116
181,9.879201312166403
182,9.88430149841472
183,9.887669308505187
184,9.890560657517232
185,9.894000937381938
186,9.894528554987666
187,9.89747926028099
188,9.899557763195492
189,9.901998454100514
190,9.902768177075881
191,9.90129492194267
192,9.898030814651571
193,9.891799939372316
194,9.886506482032809
195,9.891629848912803
196,9.898263836519915
197,9.897087217039868
198,9.899770294394909
199,9.899976719496006
200,9.899573761441971
201,9.897969241360816
202,9.900227404843209
203,9.904857205942642
204,9.907982168489834
205,9.910841787843697
206,9.912032578752962
207,9.914406359433803
208,9.916530470198055
209,9.917605720196658
210,9.919061091366608
211,9.923702349671995
212,9.930057214843984
213,9.93969715113596
214,9.94773519223511
215,9.956011128225605
216,9.959904262803644
217,9.964721423807706
218,9.971245944469853
219,9.982851766678928
220,9.993620558080078
221,10.00457172240827
222,10.013898121290781
223,10.010414319138759
224,10.00499820626745
225,9.997889580968042
226,9.986920861686286
227,9.974172519750441
228,9.955078279707847
229,9.936370056529649
230,9.917839861093137
231,9.900883915203138
232,9.88067123416169
233,9.851470668184495
234,9.820061032147816
235,9.774097281580723
236,9.734654663643916
237,9.695407699754702
238,9.659148499565017
239,9.631607430340413
240,9.602424579896237
241,9.573429840311901
242,9.542822921460848
243,9.514428172753426
244,9.486404854978732
245,9.454954759760897
246,9.424336163514319
247,9.398122185227106
