y,t,y_smooth,return,rolling_vol,vol_label,E_t
7.47,101,7.5130250875287325,-0.0001337889985427964,,,0
7.46,102,7.511818161421501,-0.00016065739786166162,,,0
7.44,103,7.510188301796194,-0.00021699626287523174,,,0
7.41,104,7.507921160183252,-0.0003019210421795813,,,0
7.46,105,7.506839818326134,-0.0001440371725577758,,,0
7.35,106,7.503310476658936,-0.0004702606786579953,,,0
7.43,107,7.501665226172574,-0.00021929398961234638,,,0
7.88,108,7.5101335432460266,0.001128221621111592,,,0
7.89,109,7.518614254180303,0.0011285985963394119,,,0
8.26,110,7.535124402454519,0.002193495618673394,,,0
8.33,111,7.552782165259033,0.0023406522020792374,,,0
8.28,112,7.568898064886703,0.0021314966966602318,,,0
8.4,113,7.587272796668773,0.002424720722986707,,,0
8.29,114,7.602773548432061,0.0020409097894218417,,,0
8.9,115,7.631323351754872,0.00374814955341963,,,0
9.07,116,7.662916533386639,0.004131388915832106,,,0
9.14,117,7.695283280008128,0.004214920359482502,,,0
9.05,118,7.724906129717717,0.0038420910875594425,,,0
9.06,119,7.754039751728096,0.0037642946277157145,,,0
8.97,120,7.780520235600727,0.003409238439012641,,,0
9.09,121,7.808981110874555,0.003651291502036599,,,0
9.45,122,7.844579026715081,0.004548227610025528,,,0
9.46,123,7.879555531797929,0.004448774288899854,,,0
9.39,124,7.912198745249848,0.0041342157905103205,,,0
9.59,125,7.948393316187773,0.004564096173507307,,,0
9.92,126,7.990850863282673,0.005327435483695907,,,0
10.02,127,8.034471983754354,0.005444037368012208,,,0
10.32,128,8.083521392519096,0.006086310998121033,,,0
10.12,129,8.12715360465942,0.00538315863020273,,,0
10.14,130,8.170209594384128,0.005283810561366714,,,0
10.04,131,8.210142093312808,0.004875667970594589,,,0
9.82,132,8.244469930145009,0.004172433428990148,,,0
10.35,133,8.289299032875151,0.005422745737491703,,,0
10.33,134,8.332683245760885,0.005220112821109224,,,0
10.12,135,8.37062534550774,0.004543071787047254,,,0
10.03,136,8.405801243074844,0.004193497218245954,,,0
10.16,137,8.44293539841578,0.004407952507964259,,,0
10.4,138,8.484307420430365,0.004888227201386813,,,0
10.48,139,8.526439664701966,0.00495361317349804,,,0
10.6,140,8.570158566417609,0.005114350401095457,,,0
10.61,141,8.613111473972943,0.004999397311220074,,,0
10.66,142,8.656158747564534,0.0049854292855707775,,,0
11.18,143,8.709171486470556,0.006105602701155435,,,0
11.3,144,8.763525900623346,0.006221659802430644,,,0
11.24,145,8.815420101722998,0.005904148273829905,,,0
11.48,146,8.871191737277908,0.0063066709348307305,,,0
11.95,147,8.935560822646362,0.007229770339127306,,,0
12.07,148,9.001020647736132,0.007299062624516793,,,0
11.87,149,9.0608718291972,0.006627367603107019,,,0
12.0,150,9.122121524873709,0.0067370565615956545,,,0
11.43,151,9.170166506338512,0.0052530434535112405,,,0
11.34,152,9.215291853469674,0.004908818356505227,,,0
11.26,153,9.257772751949979,0.004599233995084189,,,0
11.1,154,9.296009658831151,0.004121742959763399,,,0
10.81,155,9.327403800484701,0.003371473383200094,,,0
10.22,156,9.345895425637966,0.0019805424819542192,,,0
10.14,157,9.362331597749625,0.0017571067872865023,,,0
10.32,158,9.382135432345303,0.002113033348177826,,,0
10.33,159,9.401719351525267,0.00208518714621842,,,0
10.39,160,9.42212078400319,0.0021676172682253874,,,0
11.06,161,9.455903688857548,0.003579075868405527,,,0
11.17,162,9.49122953852009,0.003728890293989871,,,0
10.39,163,9.509737382682394,0.0019480955987428372,,,0
11.07,164,9.541841564452415,0.0033702416211403223,,,0
11.11,165,9.574083251470094,0.00337328357392476,,,0
10.76,166,9.598447490184373,0.002541579112105796,,,0
10.71,167,9.621266994761204,0.0023745946192277614,,,0
10.47,168,9.638678307649746,0.0018080339646111155,,,0
10.29,169,9.652030317641337,0.0013842946242275272,,,0
10.25,170,9.664280069390037,0.001268332631377882,,,0
10.45,171,9.680364997062783,0.0016629854230382304,,,0
10.51,172,9.69733757079435,0.0017517637101104023,,,0
10.48,173,9.713338690088063,0.0016486929876282433,,,0
10.65,174,9.73247593951827,0.001968264736959624,,,0
11.19,175,9.762236384832995,0.0030531836467554713,,,0
11.1,176,9.78953467254026,0.0027924125508131063,,,0
11.06,177,9.815444029749434,0.0026431421004444286,,,0
11.04,178,9.840402364297102,0.0025395342902900914,,,0
10.7,179,9.85791213859615,0.0017777946339714503,,,0
10.76,180,9.876277000745116,0.001861223414942372,,,0
10.02,181,9.879201312166403,0.00029605068491160374,,,0
10.13,182,9.88430149841472,0.0005161217027582323,,,0
10.05,183,9.887669308505187,0.0003406650916010776,,,0
10.03,184,9.890560657517232,0.0002923769252971902,,,0
10.06,185,9.894000937381938,0.000347774185733378,,,0
9.92,186,9.894528554987666,5.332560017224215e-05,,,0
10.04,187,9.89747926028099,0.00029817139753849167,,,0
10.0,188,9.899557763195492,0.00020998121281217373,,,0
10.02,189,9.901998454100514,0.0002465150607961037,,,0
9.94,190,9.902768177075881,7.773108263166184e-05,,,0
9.83,191,9.90129492194267,-0.00014878311875329416,,,0
9.74,192,9.898030814651571,-0.0003297190383243224,,,0
9.59,193,9.891799939372316,-0.0006297047774278063,,,0
9.63,194,9.886506482032809,-0.0005352791440393315,,,0
10.14,195,9.891629848912803,0.0005180838991969401,,,0
10.22,196,9.898263836519915,0.000670441990346757,,,0
9.84,197,9.897087217039868,-0.00011887836474827135,,,0
10.03,198,9.899770294394909,0.00027106093680966884,,,0
9.91,199,9.899976719496006,2.0851286732198126e-05,,,0
